date,station,area,pm25,pm10,no2,so2,o3
2026-08-11,TownHall-DistrictCourt,Town Hall,45.2,72.9,28.6,10.8,25.8
2026-08-11,Ukkadam-BusStand,Ukkadam,47.8,72.3,25.4,7.8,28.3
2026-08-12,Gandhipuram-CCMC,Gandhipuram,75.0,125.8,30.5,7.2,29.6
2026-08-12,Hopes-AvinashiRoad,Hopes College,57.6,96.4,23.5,6.8,30.6
2026-08-12,PSG-Tech-Peelamedu,Peelamedu,50.4,76.9,25.3,7.5,29.8
2026-08-12,RS Puram-WestZone,RS Puram,50.9,88.7,22.8,5.9,28.4
2026-08-12,Ramanathapuram-Nanjundapuram,Ramanathapuram,43.3,76.5,21.8,7.1,34.5
2026-08-12,Saibaba-MettupalayamRoad,Saibaba Colony,54.1,77.0,25.5,6.9,24.8
2026-08-12,Saravanampatti-CHILSEZ,Saravanampatti,57.3,93.8,30.2,8.3,30.0
2026-08-12,Singanallur-TrichyRoad,Singanallur,52.6,89.9,26.1,8.4,35.9
2026-08-12,TownHall-DistrictCourt,Town Hall,59.7,84.1,32.5,9.8,36.7
2026-08-12,Ukkadam-BusStand,Ukkadam,70.8,100.9,34.3,10.3,30.3
